SrNo,StateName,Population,TIN,StateCode,AreaInSqKm,DensityPerSqKm
1,Andaman and Nicobar Islands,0,35,AN,0,0
2,Andhra Pradesh,49386799,28,AP,162968,303
3,Andhra Pradesh New,0,37,AD,0,0
4,Arunachal Pradesh,1382611,12,AR,0,0
5,Assam,31169272,18,AS,78438,397
6,Bihar,103804637,10,BH,94163,11020
7,Chandigarh,0,04,CH,0,0
8,Chattisgarh,25540196,22,CT,135191,189
9,Dadra and Nagar Haveli,0,26,DN,0,0
10,Daman and Diu,0,25,DD,0,0
11,Delhi,0,07,DL,0,0
12,Goa,1457723,30,GA,3702,394
13,Gujarat,60383628,24,GJ,196024,308
14,Haryana,25353081,06,HR,44212,573
15,Himachal Pradesh,6864602,02,HP,55673,123
16,Jammu and Kashmir,12548926,01,JK,222236,57
17,Jharkhand,32966238,20,JH,79714,414
18,Karnataka,61130704,29,KA,191791,319
19,Kerala,33387677,32,KL,38863,859
20,Lakshadweep Islands,0,31,LD,0,0
21,Madhya Pradesh,72597565,23,MP,308245,236
22,Maharashtra,112372972,27,MH,307713,365
23,Manipur,2721756,14,MN,22327,122
24,Meghalaya,2964007,17,ME,22429,132
25,Mizoram,1091014,15,MI,21081,52
26,Nagaland,1980602,13,NL,16579,119
27,Odisha,41947358,21,OR,155707,269
28,Pondicherry,0,34,PY,0,0
29,Punjab,27704236,03,PB,50362,550
30,Rajasthan,68621012,08,RJ,342239,201
31,Sikkim,607688,11,SK,7096,86
32,Tamil Nadu,72138958,33,TN,130058,555
33,Telangana,35286757,36,TS,114840,307
34,Tripura,3671032,16,TR,10486,350
35,Uttar Pradesh,199812341,09,UP,240928,828
36,Uttarakhand,10116752,05,UT,53483,189
37,West Bengal,91347736,19,WB,88752,1029
